"maxCores","numClusters","trainMilliSec","dimension","rows","numPartitions"
160,20,26035,1000,100000,160
160,20,31922,3000,100000,160
160,20,39810,5000,100000,160
160,20,59455,10000,100000,160
160,20,36380,1000,500000,160
160,20,73077,3000,500000,160
160,20,100398,5000,500000,160
160,20,232877,10000,500000,160
